RESULT,0,76,76,100.00,490030,98.01,4
RESULT,1,60,60,100.00,488735,97.75,4
RESULT,2,102,102,100.00,490761,98.15,4
RESULT,3,35,35,100.00,486515,97.30,4
RESULT,4,63,63,100.00,274760,54.95,3
RESULT,5,31,31,100.00,474071,94.81,4
RESULT,6,20,20,100.00,289937,57.99,3
RESULT,7,40,40,100.00,490825,98.17,4
RESULT,8,60,60,100.00,308554,61.71,3
RESULT,9,61,61,100.00,499542,99.91,5
RESULT,10,48,48,100.00,490808,98.16,4
RESULT,11,34,34,100.00,300348,60.07,3
RESULT,12,56,56,100.00,229224,45.84,3
RESULT,13,50,50,100.00,471995,94.40,4
RESULT,14,47,47,100.00,487940,97.59,4
RESULT,15,39,39,100.00,295504,59.10,3
RESULT,16,66,66,100.00,499069,99.81,5
RESULT,17,34,34,100.00,485085,97.02,4
RESULT,18,56,56,100.00,490169,98.03,4
RESULT,19,44,44,100.00,307417,61.48,3
RESULT,20,85,85,100.00,489782,97.96,4
RESULT,21,88,88,100.00,492182,98.44,4
RESULT,22,104,104,100.00,478816,95.76,4
RESULT,23,64,64,100.00,296410,59.28,3
RESULT,24,91,91,100.00,269721,53.94,3
RESULT,25,51,51,100.00,479171,95.83,4
RESULT,26,56,56,100.00,230322,46.06,3
RESULT,27,57,57,100.00,499074,99.81,5
RESULT,28,35,35,100.00,266798,53.36,3
RESULT,29,143,143,100.00,280063,56.01,3
RESULT,30,91,91,100.00,490345,98.07,4
RESULT,31,45,45,100.00,264233,52.85,3
RESULT,32,54,54,100.00,230227,46.05,3
RESULT,33,66,66,100.00,499255,99.85,5
RESULT,34,29,29,100.00,478129,95.63,4
RESULT,35,6,6,100.00,12485,2.50,2
RESULT,36,51,51,100.00,473397,94.68,4
RESULT,37,36,36,100.00,499707,99.94,6
RESULT,38,39,39,100.00,499453,99.89,5
RESULT,39,39,39,100.00,499707,99.94,6
RESULT,40,22,22,100.00,155482,31.10,3
RESULT,41,22,22,100.00,168351,33.67,3
RESULT,42,30,30,100.00,483073,96.61,4
RESULT,43,60,60,100.00,499002,99.80,5
RESULT,44,20,20,100.00,465899,93.18,4
RESULT,45,28,28,100.00,217738,43.55,3
RESULT,46,20,20,100.00,188479,37.70,3
RESULT,47,47,47,100.00,184994,37.00,3
RESULT,48,39,39,100.00,197567,39.51,3
RESULT,49,35,35,100.00,204506,40.90,3
RESULT,50,77,77,100.00,280220,56.04,3
RESULT,51,104,104,100.00,233447,46.69,3
RESULT,52,27,27,100.00,244112,48.82,3
RESULT,53,38,38,100.00,479222,95.84,4
RESULT,54,38,38,100.00,483541,96.71,4
RESULT,55,22,22,100.00,487717,97.54,4
RESULT,56,71,71,100.00,258989,51.80,3
RESULT,57,60,60,100.00,309364,61.87,3
RESULT,58,78,78,100.00,259350,51.87,3
RESULT,59,68,68,100.00,499526,99.91,5
RESULT,60,80,80,100.00,308358,61.67,3
RESULT,61,53,53,100.00,281544,56.31,3
RESULT,62,87,87,100.00,491885,98.38,4
RESULT,63,117,117,100.00,483957,96.79,4
RESULT,64,121,121,100.00,499125,99.83,5
RESULT,65,52,52,100.00,499203,99.84,5
RESULT,66,114,114,100.00,487888,97.58,4
RESULT,67,42,42,100.00,498635,99.73,5
RESULT,68,17,17,100.00,175025,35.01,3
RESULT,69,97,97,100.00,277043,55.41,3
RESULT,70,64,64,100.00,484357,96.87,4
RESULT,71,49,49,100.00,499499,99.90,5
RESULT,72,40,40,100.00,473825,94.77,4
RESULT,73,118,118,100.00,499357,99.87,5
RESULT,74,77,77,100.00,491009,98.20,4
RESULT,75,78,78,100.00,499538,99.91,5
RESULT,76,67,67,100.00,498903,99.78,5
RESULT,77,70,70,100.00,270955,54.19,3
RESULT,78,46,46,100.00,287310,57.46,3
RESULT,79,64,64,100.00,288893,57.78,3
RESULT,80,23,24,95.83,499713,99.94,-1
RESULT,81,29,29,100.00,463339,92.67,4
RESULT,82,50,50,100.00,333922,66.78,3
RESULT,83,66,66,100.00,499134,99.83,5
RESULT,84,45,45,100.00,470241,94.05,4
RESULT,85,247,247,100.00,283985,56.80,3
RESULT,86,90,90,100.00,499464,99.89,5
RESULT,87,82,82,100.00,489252,97.85,4
RESULT,88,79,79,100.00,489561,97.91,4
RESULT,89,47,47,100.00,486731,97.35,4
RESULT,90,85,85,100.00,263592,52.72,3
RESULT,91,42,42,100.00,261610,52.32,3
RESULT,92,86,86,100.00,278283,55.66,3
RESULT,93,90,90,100.00,499120,99.82,5
RESULT,94,132,132,100.00,228848,45.77,3
RESULT,95,30,30,100.00,499697,99.94,6
RESULT,96,128,128,100.00,482286,96.46,4
RESULT,97,76,76,100.00,229018,45.80,3
RESULT,98,64,70,91.43,499713,99.94,-1
RESULT,99,51,51,100.00,472267,94.45,4
